Guinea|-|-|-|-|
Liberia|-|-|-|-|
Sierra Leone|Kono|Fiama|Fiama Section|Kunundu|
Sierra Leone|Kono|Fiama|Fiama Section|London|
Sierra Leone|Kono|Fiama|Fiama Section|Madina|
Sierra Leone|Kono|Fiama|Fiama Section|Mbaoma|
Sierra Leone|Kono|Fiama|Fiama Section|Moindema|
Sierra Leone|Kono|Fiama|Fiama Section|Njagbwema|
Sierra Leone|Kono|Fiama|Fiama Section|Njardu|
Sierra Leone|Kono|Fiama|Fiama Section|Patama|
Sierra Leone|Kono|Fiama|Fiama Section|Sangbandor|
Sierra Leone|Kono|Fiama|Fiama Section|Sawakor|
Sierra Leone|Kono|Fiama|Fiama Section|Sawie|
Sierra Leone|Kono|Fiama|Fiama Section|Seindekor|
Sierra Leone|Kono|Fiama|Fiama Section|Tayandu|
Sierra Leone|Kono|Fiama|Fiama Section|Tongorma|
Sierra Leone|Kono|Fiama|Fiama Section|Tuiyor|
Sierra Leone|Kono|Fiama|Fiama Section|Waima|
Sierra Leone|Kono|Fiama|Fiama Section|Yatandador|
Sierra Leone|Kono|Fiama|Fiama Section|Yeamor|
Sierra Leone|Kono|Fiama|Fiama Section|Yiegbedaa|
Sierra Leone|Kono|Fiama|Kookaa Section|Bosadu|
Sierra Leone|Kono|Fiama|Kookaa Section|Chendedu|
Sierra Leone|Kono|Fiama|Kookaa Section|Didema|
Sierra Leone|Kono|Fiama|Kookaa Section|Faor|
Sierra Leone|Kono|Fiama|Kookaa Section|Gbetema|
Sierra Leone|Kono|Fiama|Kookaa Section|New Yambama|
Sierra Leone|Kono|Fiama|Kookaa Section|Old Yambama|
Sierra Leone|Kono|Fiama|Kookaa Section|Porporma|
Sierra Leone|Kono|Fiama|Kookaa Section|Sembehun|
Sierra Leone|Kono|Fiama|Kookaa Section|Tansankor|
Sierra Leone|Kono|Fiama|Kookaa Section|Wusikor|
Sierra Leone|Kono|Fiama|Kookaa Section|Yochinjambadu|
Sierra Leone|Kono|Fiama|Kooma Section|Bandasuma|
Sierra Leone|Kono|Fiama|Kooma Section|Dakadu|
Sierra Leone|Kono|Fiama|Kooma Section|Fafinkor|
Sierra Leone|Kono|Fiama|Kooma Section|Gbakior|
Sierra Leone|Kono|Fiama|Kooma Section|Gbanfaor|
Sierra Leone|Kono|Fiama|Kooma Section|Gbangbaor|
Sierra Leone|Kono|Fiama|Kooma Section|Gbematambadu|
Sierra Leone|Kono|Fiama|Kooma Section|Kondor|
Sierra Leone|Kono|Fiama|Kooma Section|Maakor|
Sierra Leone|Kono|Fiama|Kooma Section|Makambo|
Sierra Leone|Kono|Fiama|Kooma Section|Musayah|
Sierra Leone|Kono|Fiama|Kooma Section|Ponekor|
Sierra Leone|Kono|Fiama|Kooma Section|Taama|
Sierra Leone|Kono|Fiama|Kooma Section|Tansakor|
Sierra Leone|Kono|Fiama|Kooma Section|Toodu|
Sierra Leone|Kono|Fiama|Kooma Section|Towoh|
Sierra Leone|Kono|Fiama|Yorkor Section|Bambaya|
Sierra Leone|Kono|Fiama|Yorkor Section|Bonbordu|
Sierra Leone|Kono|Fiama|Yorkor Section|Faadaa|
Sierra Leone|Kono|Fiama|Yorkor Section|Gbaima|
Sierra Leone|Kono|Fiama|Yorkor Section|Gbensedu|
Sierra Leone|Kono|Fiama|Yorkor Section|Kassadu|
Sierra Leone|Kono|Fiama|Yorkor Section|Koadiamaya|
Sierra Leone|Kono|Fiama|Yorkor Section|Meiyor|
Sierra Leone|Kono|Fiama|Yorkor Section|Moigbedukula|
Sierra Leone|Kono|Fiama|Yorkor Section|Ngegbordu|
Sierra Leone|Kono|Fiama|Yorkor Section|Wondema|
Sierra Leone|Kono|Fiama|Yorkor Section|Wusikongor|
Sierra Leone|Kono|Gbane|Gbane Yemaor Section|Bendu|
Sierra Leone|Kono|Gbane|Gbane Yemaor Section|Foakor|
Sierra Leone|Kono|Gbane|Gbane Yemaor Section|Foindu|
